mp_id	fullname	year	guid	format	decl_url
15817	Остапчук Віктор Миколайович	2014	d532cb7d-92b7-45ab-8f9a-6d84346c0b59	json	http://itd.rada.gov.ua/declview/Home/Main/15817/2014
15817	Остапчук Віктор Миколайович	2015	f390dcbd-0552-483b-82a7-d2d11a9416c7	json	http://itd.rada.gov.ua/declview/Home/Main/15817/2015
18018	Острікова Тетяна Георгіївна	2013	2564ed3e-0fd8-4095-8c03-80e20c16b42e	json	http://itd.rada.gov.ua/declview/Home/Main/18018/2013
18018	Острікова Тетяна Георгіївна	2014	6510fe3c-8d5d-4586-8162-53c287b0a714	json	http://itd.rada.gov.ua/declview/Home/Main/18018/2014
18018	Острікова Тетяна Георгіївна	2015	a71b337a-ba54-4001-8377-9de2e150511a	json	http://itd.rada.gov.ua/declview/Home/Main/18018/2015
15806	Осуховський Олег Іванович	2013	914c87ee-d3ba-489e-8952-8a7692c360d6	json	http://itd.rada.gov.ua/declview/Home/Main/15806/2013
15806	Осуховський Олег Іванович	2014	e89f9a0a-5f5b-4e83-804e-c0f04acab6ce	json	http://itd.rada.gov.ua/declview/Home/Main/15806/2014
15806	Осуховський Олег Іванович	2015	4df5ee6d-9007-4a41-80b8-3b6f6e4e892d	json	http://itd.rada.gov.ua/declview/Home/Main/15806/2015
19622	Підберезняк Вадим Іванович	2014	871c9a2d-8b35-453b-8027-27d868791102	json	http://itd.rada.gov.ua/declview/Home/Main/19622/2014
19622	Підберезняк Вадим Іванович	2015	8b177d89-d863-44ae-8a09-807fb23a038c	json	http://itd.rada.gov.ua/declview/Home/Main/19622/2015
18025	Підлісецький Лев Теофілович	2013	f2be17f3-0d32-41b4-8d9f-6a4f2507969d	json	http://itd.rada.gov.ua/declview/Home/Main/18025/2013
18025	Підлісецький Лев Теофілович	2014	fe610037-8194-4819-89c6-6814e4e13131	json	http://itd.rada.gov.ua/declview/Home/Main/18025/2014
18025	Підлісецький Лев Теофілович	2015	719e8a27-7f9a-47f4-84d7-339c605ae8bd	json	http://itd.rada.gov.ua/declview/Home/Main/18025/2015
15651	Павелко Андрій Васильович	2013	cce0090e-430e-41d7-8ec3-465f9d0eba4b	json	http://itd.rada.gov.ua/declview/Home/Main/15651/2013
15651	Павелко Андрій Васильович	2014	0d03c5dd-22fd-49fc-86b8-ccf49a9f922a	json	http://itd.rada.gov.ua/declview/Home/Main/15651/2014
15651	Павелко Андрій Васильович	2015	56979dd0-f335-414f-8425-6f253f661b3f	json	http://itd.rada.gov.ua/declview/Home/Main/15651/2015
15687	Павленко Ростислав Миколайович	2013	863fda39-15ec-4de1-86f3-3a685b6d498d	json	http://itd.rada.gov.ua/declview/Home/Main/15687/2013
5380	Павленко Юрій Олексійович	2013	1fba8271-d972-4da9-8ddd-0ceee6e775e0	json	http://itd.rada.gov.ua/declview/Home/Main/5380/2013
5380	Павленко Юрій Олексійович	2014	3de5b862-9431-4ba6-8fe0-4ef7396c9065	json	http://itd.rada.gov.ua/declview/Home/Main/5380/2014
5380	Павленко Юрій Олексійович	2015	00f73c93-fe1e-4c23-823d-647250676b52	json	http://itd.rada.gov.ua/declview/Home/Main/5380/2015
15741	Павлов Костянтин Юрійович	2013	b38a761f-1faf-4f6d-8ee4-7e04519dadab	json	http://itd.rada.gov.ua/declview/Home/Main/15741/2013
15741	Павлов Костянтин Юрійович	2014	94db841c-cc66-4d65-8200-3f188b9ae03a	json	http://itd.rada.gov.ua/declview/Home/Main/15741/2014
15741	Павлов Костянтин Юрійович	2015	bcd62486-740c-454b-809f-dec11f936b89	json	http://itd.rada.gov.ua/declview/Home/Main/15741/2015
15671	Паламарчук Микола Петрович	2013	35f79961-f03d-4bd4-88a2-955a598a2989	json	http://itd.rada.gov.ua/declview/Home/Main/15671/2013
15671	Паламарчук Микола Петрович	2014	68f2fb0f-d6cd-4c49-85cc-af1eef9a0f3b	json	http://itd.rada.gov.ua/declview/Home/Main/15671/2014
15671	Паламарчук Микола Петрович	2015	df7c5f39-160d-4888-8307-517b35f02b92	json	http://itd.rada.gov.ua/declview/Home/Main/15671/2015
15670	Палатний Артур Леонідович	2013	55f83ab6-613e-48db-8a59-62cc242c5f27	json	http://itd.rada.gov.ua/declview/Home/Main/15670/2013
15670	Палатний Артур Леонідович	2014	e882b3d9-0740-49e6-873c-d8b61007f899	json	http://itd.rada.gov.ua/declview/Home/Main/15670/2014
15670	Палатний Артур Леонідович	2015	a3f6c079-dbb6-4eb2-837f-f4dc2939b75e	json	http://itd.rada.gov.ua/declview/Home/Main/15670/2015
5464	Папієв Михайло Миколайович	2013	53d65553-1638-4d2c-8206-75eaf30c281c	json	http://itd.rada.gov.ua/declview/Home/Main/5464/2013
5464	Папієв Михайло Миколайович	2014	19cceed6-5c77-468f-8678-cce4b0475c09	json	http://itd.rada.gov.ua/declview/Home/Main/5464/2014
5464	Папієв Михайло Миколайович	2015	1f5f63b1-7d4d-44fc-8453-c9656541cac7	json	http://itd.rada.gov.ua/declview/Home/Main/5464/2015
18124	Парасюк Володимир Зіновійович	2013	202e2393-4db0-43f4-8c8f-df8619bbe25f	json	http://itd.rada.gov.ua/declview/Home/Main/18124/2013
18124	Парасюк Володимир Зіновійович	2014	808dde1d-5fe8-4910-82bf-0313b80c0b15	json	http://itd.rada.gov.ua/declview/Home/Main/18124/2014
18124	Парасюк Володимир Зіновійович	2015	49041926-cd17-469c-8d13-2354c680f132	json	http://itd.rada.gov.ua/declview/Home/Main/18124/2015
11584	Парубій Андрій Володимирович	2013	b7350c21-bd76-4d91-855c-0113d6c45e1a	json	http://itd.rada.gov.ua/declview/Home/Main/11584/2013
11584	Парубій Андрій Володимирович	2014	f7fffa5e-fbf0-4759-874a-a3646c32bfa2	json	http://itd.rada.gov.ua/declview/Home/Main/11584/2014
11584	Парубій Андрій Володимирович	2015	4969f0c2-fde8-4e62-8166-94dd4a4b3171	json	http://itd.rada.gov.ua/declview/Home/Main/11584/2015
18125	Пастух Тарас Тимофійович	2013	77a03c24-f80f-403f-8b68-ee1645b2fbe8	json	http://itd.rada.gov.ua/declview/Home/Main/18125/2013
18125	Пастух Тарас Тимофійович	2014	e3288bb4-7fe8-433e-8290-565ddda39249	json	http://itd.rada.gov.ua/declview/Home/Main/18125/2014
18125	Пастух Тарас Тимофійович	2015	ca9ca13a-8f8d-460a-8a69-52b479897063	json	http://itd.rada.gov.ua/declview/Home/Main/18125/2015
15674	Пацкан Валерій Васильович	2013	2e0e3b64-bb1d-46b1-8007-3c15c5dfbc4e	json	http://itd.rada.gov.ua/declview/Home/Main/15674/2013
15674	Пацкан Валерій Васильович	2014	d01264a9-c153-4805-8a5d-cf79857718f2	json	http://itd.rada.gov.ua/declview/Home/Main/15674/2014
15674	Пацкан Валерій Васильович	2015	a243c52c-609b-437f-8dfd-277bb28694cd	json	http://itd.rada.gov.ua/declview/Home/Main/15674/2015
8696	Пашинський Сергій Володимирович	2013	c3c450f7-fcce-4457-8094-03ad34d0a697	json	http://itd.rada.gov.ua/declview/Home/Main/8696/2013
8696	Пашинський Сергій Володимирович	2014	07fc305e-80bd-4479-8f25-8ce6dd5fd59e	json	http://itd.rada.gov.ua/declview/Home/Main/8696/2014
8696	Пашинський Сергій Володимирович	2015	647b0971-7173-4d91-8b67-22ae84dcba67	json	http://itd.rada.gov.ua/declview/Home/Main/8696/2015
18126	Петренко Олег Миколайович	2013	5a934249-2f94-4891-88ec-dfa60f0559f7	json	http://itd.rada.gov.ua/declview/Home/Main/18126/2013
18126	Петренко Олег Миколайович	2014	216d92f1-db91-4b1e-8b2a-4c8e8c41807b	json	http://itd.rada.gov.ua/declview/Home/Main/18126/2014
18126	Петренко Олег Миколайович	2015	0e47f891-6290-4d3f-84c4-c1ee63dcb7df	json	http://itd.rada.gov.ua/declview/Home/Main/18126/2015
11131	Петьовка Василь Васильович	2013	7ab935cb-dc71-453e-810c-e0bad9e6db6a	json	http://itd.rada.gov.ua/declview/Home/Main/11131/2013
11131	Петьовка Василь Васильович	2014	7ea205f6-08fd-4f36-8bf8-eae88221b89d	json	http://itd.rada.gov.ua/declview/Home/Main/11131/2014
11131	Петьовка Василь Васильович	2015	83c3aae4-4b48-4c46-8298-57650cc840fa	json	http://itd.rada.gov.ua/declview/Home/Main/11131/2015
862	Пинзеник Віктор Михайлович	2013	c2951570-336e-4725-8095-59fab0992b61	json	http://itd.rada.gov.ua/declview/Home/Main/862/2013
862	Пинзеник Віктор Михайлович	2014	84292295-d319-4b25-89b2-60c3d0905abd	json	http://itd.rada.gov.ua/declview/Home/Main/862/2014
862	Пинзеник Віктор Михайлович	2015	91b9afc0-0bd8-47ee-8984-f52c61c8a288	json	http://itd.rada.gov.ua/declview/Home/Main/862/2015
8125	Пинзеник Павло Васильович	2013	f4b3e192-4995-41fd-8e8d-502209187d56	json	http://itd.rada.gov.ua/declview/Home/Main/8125/2013
8125	Пинзеник Павло Васильович	2014	97b2f39e-7461-434d-8555-c8828d0a3671	json	http://itd.rada.gov.ua/declview/Home/Main/8125/2014
